Actual Rating,Predicted Rating
2.3,3.374835992179846
4.4,4.093015505365002
2.9,3.810564139222379
4.7,4.078634717671171
3.9,3.976523859381161
4.0,3.924970867457308
4.1,4.161167991728762
4.5,4.062879606951466
3.6,3.921896585406438
4.3,4.342654320425739
4.0,4.135610220603918
4.1,4.155707615612561
4.3,4.411870822091231
4.2,4.198457185657465
4.3,4.06981994319121
4.3,4.3943943884698395
3.5,4.027500361311828
3.6,3.857248467649118
3.8,3.9097645375146026
4.3,4.092162747770843
3.9,4.090743192948162
3.7,3.6898674675223218
3.8,3.9558414100498247
4.0,4.022986202486888
3.6,3.7876069137368407
3.9,3.957901992777886
5.0,4.028690966921915
4.1,4.1224350314048825
3.9,4.072549936682603
3.7,3.7046598601740817
4.2,4.127948211656599
4.3,4.111680547910977
4.2,4.1839726819577185
4.1,3.9827247041165452
3.4,4.094206750436586
4.5,3.785707185682825
4.3,4.352912559090959
4.1,4.056407761605527
4.1,3.922387995027682
3.7,4.01232206749137
4.1,4.184696591847795
3.8,3.9645515691233637
4.2,4.145059903366338
4.0,4.099505535053994
4.2,4.133638469164116
4.1,4.0491777711505845
3.7,3.678557129406339
4.8,4.084504398772017
4.1,4.117555726824713
3.9,3.9602252473520445
3.7,4.129253067937724
4.3,4.163866940501395
4.7,4.62202800377821
3.7,4.0369653521430475
4.2,4.008531879013738
4.7,4.593173409094159
4.3,4.051802542371768
3.7,3.744442983863778
4.3,4.3060364891264085
4.2,4.280568462981132
4.2,4.2736552994391905
4.1,3.8792587441516124
2.7,3.549546926927917
3.7,3.8586553481824115
3.8,3.956575962920799
3.9,3.9362206965853193
4.1,4.466979426082645
4.3,4.2552509699653935
4.4,4.342068183536679
3.1,3.6962384326920943
