Actual Ratings,Predicted Ratings
2.3,3.374582013107864
4.4,4.089385898592147
2.9,3.8035421519717088
4.7,4.068067772546098
3.9,3.968642307394855
4.0,3.908203819117865
4.1,4.1686625328588685
4.5,4.070304495371894
3.6,3.919787761863221
4.3,4.330889420126854
4.0,4.132121140634549
4.1,4.1600300962557535
4.3,4.399415205069347
4.2,4.196447804308859
4.3,4.078877155761549
4.3,4.443257795479772
3.5,4.025116729145083
3.6,3.8578882352052446
3.8,3.907855912988309
4.3,4.096590303602635
3.9,4.089997003135485
3.7,3.687506208341021
3.8,3.946803727109171
4.0,4.014045578190142
3.6,3.778184852609093
3.9,3.9505268618387643
5.0,4.029572893742537
4.1,4.118299990692597
3.9,4.075084167517911
3.7,3.7071130248212603
4.2,4.1191824744898895
4.3,4.11514454463226
4.2,4.185067912091779
4.1,3.9745945207125275
3.4,4.109725095313701
4.5,3.7886049628663576
4.3,4.396273026597023
4.1,4.050451262419485
4.1,3.9112377556966984
3.7,4.016524409640721
4.1,4.17674102725515
3.8,3.9620292676334405
4.2,4.143459016954283
4.0,4.092550945302098
4.2,4.132997445004353
4.1,4.043378975129601
3.7,3.6628054237995813
4.8,4.073979731441458
4.1,4.116331082259256
3.9,3.9570277841349615
3.7,4.135956534629608
4.3,4.20013663318984
4.7,4.5793591172193615
3.7,4.037293533220647
4.2,4.003139840973134
4.7,4.586070581980689
4.3,4.0678623954342665
3.7,3.746636999455646
4.3,4.319664193415571
4.2,4.274277106979686
4.2,4.273559029127071
4.1,3.869783684228984
2.7,3.534413409869541
3.7,3.8611819424551284
3.8,3.952584240368048
3.9,3.937969005431477
4.1,4.465053483371697
4.3,4.265569269105469
4.4,4.357782430971371
3.1,3.695926084415839
